employer,employer_rating,sector,industry,employer_founded,employer_revenue,job_title,location,min_salary,max_salary,average_base_salary,per_hour_or_year
Next Mission - Heroes League Game Day,3.8,,,,,Data Scientist,Utah,45K,55K,"$50,000",/yr (Employer est.)
IntelliBridge LLC,4.0,Government & Public Administration,National Agencies,,Unknown / Non-Applicable,Lead Data Scientist,"McLean, VA",113K,154K,"$131,751",/yr (Glassdoor est.)
"Knowesis, Inc.",4.5,Management & Consulting,Business Consulting,2007,$25 to $100 million (USD),Data Scientist I,"Hurlburt Fld, FL",66K,101K,"$81,665",/yr (Glassdoor est.)
Big Bright International,3.6,,,,Unknown / Non-Applicable,DATA SCIENTIST,"Chicago, IL",86K,124K,"$103,389",/yr (Glassdoor est.)
Cyberhill Partners LLC,1.0,,,,Unknown / Non-Applicable,Data Scientist (TS/SCI FSP),"Fort Meade, MD",102K,146K,"$122,103",/yr (Glassdoor est.)
University of Maryland Medical System,3.3,Healthcare,Health Care Services & Hospitals,1984,$1 to $5 billion (USD),Healthcare Data Scientist,"North Bethesda, MD",107K,154K,"$128,550",/yr (Glassdoor est.)
LFT LLC.,4.1,,,,,Data Scientist,"Jersey City, NJ",125K,135K,"$130,000",/yr (Employer est.)
CVS Health,3.1,Healthcare,Health Care Services & Hospitals,1963,$10+ billion (USD),Data Scientist,"Wellesley, MA",83K,175K,"$129,008",/yr (Employer est.)
eureka strategic consulting,3.7,,,,Unknown / Non-Applicable,Data Scientist,"Columbia, MD",99K,133K,"$114,380",/yr (Glassdoor est.)
"ADNET Systems, Inc.",3.8,Information Technology,Information Technology Support Services,1990,$25 to $100 million (USD),HP083 Data Curation Scientist,"Greenbelt, MD",70K,80K,"$75,000",/yr (Employer est.)
Two Chairs,3.8,Healthcare,Health Care Services & Hospitals,2017,Unknown / Non-Applicable,Staff Data Scientist,"San Francisco, CA",135K,186K,"$158,517",/yr (Glassdoor est.)
Virta Health,3.0,Healthcare,Health Care Services & Hospitals,2014,$25 to $100 million (USD),Senior Data Scientist,Remote,165K,213K,"$189,043",/yr (Employer est.)
US Department of Veterans Affairs,3.7,Government & Public Administration,National Agencies,1930,Unknown / Non-Applicable,Data Scientist,"Washington, DC",79K,122K,"$100,526",/yr (Employer est.)
INflow Federal,4.9,Information Technology,Information Technology Support Services,2013,$5 to $25 million (USD),Jr Data Scientist,"Springfield, VA",140K,180K,"$160,000",/yr (Employer est.)
Rios Partners LLC,3.1,Management & Consulting,Business Consulting,2016,Unknown / Non-Applicable,Artificial Intelligence (AI) Strategist,"Arlington, VA",78K,132K,"$101,287",/yr (Glassdoor est.)
Cleveland Clinic,3.7,Healthcare,Health Care Services & Hospitals,1921,$1 to $5 billion (USD),Associate Data Scientist - PLMI Analytics,"Cleveland, OH",30.41,46.38,$38.40,/hr (Employer est.)
Putnam,4.0,Financial Services,Investment & Asset Management,1937,$100 to $500 million (USD),Data Scientist I,"Boston, MA",97K,122K,"$108,677",/yr (Glassdoor est.)
"Synertex, LLC",3.8,Government & Public Administration,National Agencies,2016,Unknown / Non-Applicable,Data Analyst/Scientist,"Linthicum Heights, MD",72K,111K,"$89,179",/yr (Glassdoor est.)
"The Kenjya-Trusant Group, LLC",3.7,Management & Consulting,Business Consulting,2002,$5 to $25 million (USD),(VV) Data Scientist - Level 3 (TS/SCI w/ Polygraph),"Augusta, GA",81K,134K,"$104,134",/yr (Glassdoor est.)
Sonoma Consulting Inc.,3.1,Human Resources & Staffing,HR Consulting,1998,$100 to $500 million (USD),Data Scientist with Big Data,"Plano, TX",96K,133K,"$113,304",/yr (Glassdoor est.)
Citizens,3.6,Financial Services,Banking & Lending,1828,$5 to $10 billion (USD),Sr Data Scientist,"Boston, MA",110K,147K,"$127,373",/yr (Glassdoor est.)
Republic Services,3.5,"Energy, Mining & Utilities",Energy & Utilities,1998,$5 to $10 billion (USD),Data Scientist I,"Phoenix, AZ",82K,115K,"$96,932",/yr (Glassdoor est.)
"Marriott International, Inc",4.0,Hotels & Travel Accommodation,Hotels & Resorts,1927,$10+ billion (USD),Data Scientist,"Bethesda, MD",96K,190K,"$143,096",/yr (Employer est.)
Attain,3.8,Management & Consulting,Business Consulting,2009,$100 to $500 million (USD),Data Scientist,"Redwood City, CA",116K,165K,"$138,615",/yr (Glassdoor est.)
National Consulting Partners,3.3,,,,Unknown / Non-Applicable,Data Scientist,Remote,110K,130K,"$120,000",/yr (Employer est.)
Mass General Brigham,3.6,Healthcare,Health Care Services & Hospitals,1994,$10+ billion (USD),Data Scientist Biostatistician,"Somerville, MA",100K,138K,"$117,175",/yr (Glassdoor est.)
Parts Town,3.9,Retail & Wholesale,Wholesale,1987,$1 to $5 billion (USD),Senior Data Scientist,"Fort Wayne, IN",107K,150K,"$126,927",/yr (Glassdoor est.)
Creditserve,4.9,Management & Consulting,Business Consulting,2015,Unknown / Non-Applicable,Data Scientist II,Remote,100K,110K,"$105,000",/yr (Employer est.)
National Grid Renewables,4.2,"Energy, Mining & Utilities",Energy & Utilities,,Unknown / Non-Applicable,Data Scientist,"Bloomington, MN",91K,118K,"$103,767",/yr (Glassdoor est.)
360 IT Professionals,2.4,Human Resources & Staffing,HR Consulting,,$1 to $5 million (USD),Data Scientist,"San Ramon, CA",109K,159K,"$131,465",/yr (Glassdoor est.)
PayPal,3.9,Information Technology,Internet & Web Services,1998,$10+ billion (USD),Data Scientist,"Austin, TX",118K,147K,"$131,640",/yr (Glassdoor est.)
Meridiam,4.1,,,,$1 to $5 million (USD),Data Scientist,"Washington, DC",103K,141K,"$120,394",/yr (Glassdoor est.)
keasis Inc,3.5,,,,Unknown / Non-Applicable,Junior Data Scientist,"Columbus, OH",40.00,48.00,$44.00,/hr (Employer est.)
Biogen,3.9,Pharmaceutical & Biotechnology,Biotech & Pharmaceuticals,1978,$5 to $25 million (USD),"Co-op, Machine Learning Data Scientist","Cambridge, MA",123K,150K,"$136,006",/yr (Glassdoor est.)
Machinify,4.1,Information Technology,Software Development,2016,Unknown / Non-Applicable,Data Scientist | Healthcare Data,California,170K,250K,"$210,000",/yr (Employer est.)
CVS Health,3.1,Healthcare,Health Care Services & Hospitals,1963,$10+ billion (USD),Data Scientist,"New York, NY",83K,175K,"$129,008",/yr (Employer est.)
Kina'ole Foundation,5.0,,,,Unknown / Non-Applicable,Data Scientist,"Huntsville, AL",86K,114K,"$98,792",/yr (Glassdoor est.)
Imperative Care,2.9,Manufacturing,Health Care Products Manufacturing,2016,Unknown / Non-Applicable,Sr Data Analyst,Remote,118K,144K,"$130,950",/yr (Employer est.)
Independent Software,3.6,Information Technology,Computer Hardware Development,,Unknown / Non-Applicable,"Data Scientist, All Levels","Fort Meade, MD",88K,133K,"$108,270",/yr (Glassdoor est.)
"Octapharma Plasma, Inc.",3.1,,,,Unknown / Non-Applicable,Data Scientist,"Charlotte, NC",89K,119K,"$102,474",/yr (Glassdoor est.)
Bestgate Engineering,5.0,,,,,Cleared Data Scientist - Telework Available!,"Jessup, MD",145K,200K,"$172,500",/yr (Employer est.)
Next Insurance,3.8,Insurance,Insurance Carriers,2016,Unknown / Non-Applicable,"Data Scientist, Growth","Palo Alto, CA",128K,175K,"$149,887",/yr (Glassdoor est.)
ETN,3.6,,,1991,$5 to $25 million (USD),Jr. Data Scientist,Remote,65K,65K,"$65,000",/yr (Employer est.)
Radian,4.1,Insurance,Insurance Carriers,1977,$1 to $5 billion (USD),Data Scientist I - Hybrid,"New York, NY",79K,112K,"$95,550",/yr (Employer est.)
