employer,employer_rating,sector,industry,employer_founded,employer_revenue,job_title,location,min_salary,max_salary,average_base_salary,per_hour_or_year
TikTok,3.4,Information Technology,Internet & Web Services,2016,Unknown / Non-Applicable,Software Engineer iOS - TikTok AI Camera - San Jose,"San Jose, CA",145K,238K,"$191,250",/yr (Employer est.)
Orum,4.7,Information Technology,Software Development,2018,$5 to $25 million (USD),Staff Machine Learning Engineer,United States,200K,220K,"$210,000",/yr (Employer est.)
"Advanced Micro Devices, Inc",4.1,Information Technology,Computer Hardware Development,1969,$10+ billion (USD),"Sr. Staff Software Development Engineer - AI/ML, drivers, DirectML, C++","San Jose, CA",163K,221K,"$189,787",/yr (Glassdoor est.)
Atlassian,4.0,Information Technology,Software Development,2002,Unknown / Non-Applicable,Principal Machine Learning System Engineer,"San Francisco, CA",162K,210K,"$184,551",/yr (Glassdoor est.)
Yelp,3.5,Information Technology,Internet & Web Services,2004,$500 million to $1 billion (USD),Senior Product Manager - Machine Learning (Remote - United States),"Austin, TX",120K,260K,"$190,000",/yr (Employer est.)
GE HEALTHCARE,4.2,Manufacturing,Health Care Products Manufacturing,1892,$10+ billion (USD),Senior AI Engineer - Foundation Models,"Seattle, WA",171K,256K,"$213,180",/yr (Employer est.)
Visa,4.1,Information Technology,Information Technology Support Services,1958,$10+ billion (USD),"Director, Data Science & Advanced Analytics","Austin, TX",161K,210K,"$185,500",/yr (Employer est.)
Pinterest,3.9,Information Technology,Internet & Web Services,2010,$100 to $500 million (USD),"Staff Data Scientist, Ecosystem","San Francisco, CA",178K,233K,"$203,483",/yr (Glassdoor est.)
NVIDIA,4.6,Information Technology,Computer Hardware Development,1993,$5 to $10 billion (USD),Data Center Engineer,Oregon,140K,288K,"$213,750",/yr (Employer est.)
Edwards Lifesciences,4.0,Manufacturing,Health Care Products Manufacturing,1958,$1 to $5 billion (USD),"Director, Distinguished, Statistical Programming","Irvine, CA",153K,219K,"$182,916",/yr (Glassdoor est.)
Snapchat,3.7,Information Technology,Computer Hardware Development,2011,Unknown / Non-Applicable,"Senior Data Scientist, 5+ Years of Experience","Los Angeles, CA",156K,235K,"$195,500",/yr (Employer est.)
Abbott Laboratories,3.8,Healthcare,Health Care Services & Hospitals,1888,$10+ billion (USD),Data Science Manager,"Alameda, CA",126K,252K,"$188,600",/yr (Employer est.)
Microsoft,4.3,Information Technology,Computer Hardware Development,1975,$10+ billion (USD),"Principal Researcher – High Performance Computing, Machine Learning Systems, Programming Languages, Formal Methods – Microsoft Research","Redmond, WA",134K,257K,"$195,200",/yr (Employer est.)
Apple,4.2,Information Technology,Computer Hardware Development,1976,$10+ billion (USD),"AIML - Sr. Software Engineer, Machine Learning Platform & Infrastructure","Cupertino, CA",139K,257K,"$197,700",/yr (Employer est.)
Instabase,4.1,Information Technology,Enterprise Software & Network Solutions,2015,Unknown / Non-Applicable,"Senior Software Engineer, Deep Learning (AI)","New York, NY",185K,220K,"$202,500",/yr (Employer est.)
Nuro,3.8,Information Technology,Computer Hardware Development,2016,Unknown / Non-Applicable,Senior ML Engineer,"Mountain View, CA",167K,251K,"$209,000",/yr (Employer est.)
Red Dog Media,4.5,Information Technology,Internet & Web Services,2008,Unknown / Non-Applicable,Senior Data Scientist,"Henderson, NV",200K,200K,"$200,000",/yr (Employer est.)
New Relic,3.6,Information Technology,Enterprise Software & Network Solutions,2008,$100 to $500 million (USD),Principal Product Manager - APM/AI (Remote),"Atlanta, GA",180K,225K,"$202,500",/yr (Employer est.)
KLA Corporation,4.1,Manufacturing,Machinery Manufacturing,1976,$1 to $5 billion (USD),Artificial Intelligence Engineer,"Milpitas, CA",142K,241K,"$191,700",/yr (Employer est.)
IBM,4.1,Information Technology,Information Technology Support Services,1911,$10+ billion (USD),Data Requirements Manager,"Chantilly, VA",156K,234K,"$195,000",/yr (Employer est.)
Blitz App,2.8,Information Technology,Computer Hardware Development,2018,Unknown / Non-Applicable,Games Data Lead,"Los Angeles, CA",170K,220K,"$195,000",/yr (Employer est.)
Probably Genetic,4.0,,,,,Machine Learning Lead,"San Francisco, CA",151K,232K,"$191,500",/yr (Employer est.)
BlackLine,3.3,Information Technology,Software Development,2001,$500 million to $1 billion (USD),"Staff Software Engineer, Artificial Intelligence (AI)","Pleasanton, CA",160K,247K,"$203,300",/yr (Employer est.)
SAP,4.3,Information Technology,Enterprise Software & Network Solutions,1972,$10+ billion (USD),Senior AI/ML Applied Scientist - Generative AI and Knowledge Graph,"Palo Alto, CA",160K,222K,"$188,548",/yr (Glassdoor est.)
Target,3.5,Retail & Wholesale,General Merchandise & Superstores,1962,$10+ billion (USD),"Lead Data Scientist - Search and Browse (NLP, LLMs, Information Retrieval)","Minneapolis, MN",127K,274K,"$200,050",/yr (Employer est.)
Connect Staffing Professional,5.0,,,,Unknown / Non-Applicable,Senior Data & ML Scientist,"New York, NY",160K,250K,"$205,000",/yr (Employer est.)
Oculus,3.9,Information Technology,Internet & Web Services,2004,$10+ billion (USD),"Research Scientist, Machine Learning and Eye Tracking","Redmond, WA",177K,251K,"$214,000",/yr (Employer est.)
Apple,4.2,Information Technology,Computer Hardware Development,1976,$10+ billion (USD),"AIML - Sr Engineering Program Manager, Machine Learning","Seattle, WA",152K,268K,"$210,300",/yr (Employer est.)
Faire,4.4,Retail & Wholesale,Wholesale,2017,Unknown / Non-Applicable,Senior Data Scientist - Search & Recommendation,Remote,156K,215K,"$185,250",/yr (Employer est.)
Uber,3.9,Information Technology,Internet & Web Services,2009,$10+ billion (USD),Staff Data Scientist - Membership,"San Francisco, CA",195K,195K,"$195,000",/yr (Employer est.)
Uber,3.9,Information Technology,Internet & Web Services,2009,$10+ billion (USD),Staff/Senior Staff Applied Scientist - Causal inference & Experimentation,"San Francisco, CA",203K,203K,"$203,000",/yr (Employer est.)
Microsoft,4.3,Information Technology,Computer Hardware Development,1975,$10+ billion (USD),Principal Applied Scientist - Speech,"Redmond, WA",134K,257K,"$195,200",/yr (Employer est.)
Quizlet,4.1,Information Technology,Computer Hardware Development,2006,Unknown / Non-Applicable,Sr. Machine Learning Engineer,"New York, NY",150K,225K,"$187,500",/yr (Employer est.)
Propel,3.6,Information Technology,Internet & Web Services,2014,Unknown / Non-Applicable,Senior Machine Learning Engineer,Remote,150K,250K,"$200,000",/yr (Employer est.)
Twinn Intelligence Group,5.0,Information Technology,Enterprise Software & Network Solutions,2017,$1 to $5 million (USD),Machine Learning Engineer,"McLean, VA",200K,200K,"$200,000",/yr (Employer est.)
Gannett,3.0,Media & Communication,Publishing,1906,$1 to $5 billion (USD),"Director, Data Science - B2B Marketing","Indianapolis, IN",120K,247K,"$183,350",/yr (Employer est.)
General Atomics and Affiliated Companies,3.7,Aerospace & Defense,Aerospace & Defense,1955,Unknown / Non-Applicable,Staff Machine Learning Engineer,"Poway, CA",141K,252K,"$196,617",/yr (Employer est.)
Mayo Clinic,3.8,Healthcare,Health Care Services & Hospitals,,$10+ billion (USD),Senior AI/ML Full Stack Engineer - CDH - Remote,"Rochester, MN",164K,238K,"$200,866",/yr (Employer est.)
Schlumberger,4.1,"Energy, Mining & Utilities",Energy & Utilities,1926,$10+ billion (USD),Senior Data Scientist,"Menlo Park, CA",190K,230K,"$210,000",/yr (Employer est.)
Visa,4.1,Information Technology,Information Technology Support Services,1958,$10+ billion (USD),Principal ML Engineer,"Bellevue, WA",183K,239K,"$210,950",/yr (Employer est.)
Apple,4.2,Information Technology,Computer Hardware Development,1976,$10+ billion (USD),"AIML - ML Engineer, MLR","Cupertino, CA",139K,257K,"$197,700",/yr (Employer est.)
Alaka`ina Foundation Family of Companies,3.7,Nonprofit & NGO,Civic & Social Services,,Unknown / Non-Applicable,Sr. Data Architect,"Albuquerque, NM",170K,195K,"$182,500",/yr (Employer est.)
"The Travelers Companies, Inc.",4.1,Insurance,Insurance Carriers,1853,$10+ billion (USD),Manager & Sr. Data Scientist,"Hartford, CT",139K,229K,"$183,700",/yr (Employer est.)
Faire,4.4,Retail & Wholesale,Wholesale,2017,Unknown / Non-Applicable,Staff Machine Learning Platform Engineer,Remote,183K,251K,"$216,750",/yr (Employer est.)
Box,4.4,Information Technology,Software Development,2005,$500 million to $1 billion (USD),"Senior Machine Learning Engineer, Shield","Redwood City, CA",193K,241K,"$216,500",/yr (Employer est.)
Great Expectations,5.0,Information Technology,Information Technology Support Services,2017,Unknown / Non-Applicable,Senior Product Manager,Remote,163K,227K,"$195,000",/yr (Employer est.)
PRIMUS GLOBAL SERVICES,3.9,Information Technology,Information Technology Support Services,2002,$5 to $25 million (USD),Machine Learning Engineer AI,Remote,189K,199K,"$193,811",/yr (Employer est.)
Netflix,4.2,Information Technology,Internet & Web Services,1997,$5 to $10 billion (USD),"ML Engineer, Foundation Model Infra (L4/L5), Machine Learning Platform","Los Gatos, CA",150K,215K,"$179,365",/yr (Glassdoor est.)
Johnson & Johnson,4.2,Pharmaceutical & Biotechnology,Biotech & Pharmaceuticals,1887,$10+ billion (USD),"Associate Director Portfolio Lead, Statistical Programming","Titusville, NJ",135K,232K,"$183,650",/yr (Employer est.)
"The Travelers Companies, Inc.",4.1,Insurance,Insurance Carriers,1853,$10+ billion (USD),Manager and Senior Data Scientist - Commercial Lines Segmentation Acceleration,"Saint Paul, MN",139K,229K,"$183,700",/yr (Employer est.)
General Dynamics Information Technology,3.9,Information Technology,Information Technology Support Services,1996,$10+ billion (USD),Data Scientist,Indiana,156K,234K,"$195,000",/yr (Employer est.)
Apple,4.2,Information Technology,Computer Hardware Development,1976,$10+ billion (USD),Data Scientist Input - Apple Vision Pro,"Cupertino, CA",132K,242K,"$186,900",/yr (Employer est.)
Meta,3.9,Information Technology,Internet & Web Services,2004,$10+ billion (USD),"Product Manager, Machine Learning","Menlo Park, CA",171K,238K,"$204,500",/yr (Employer est.)
Jazz Pharmaceuticals,3.2,Pharmaceutical & Biotechnology,Biotech & Pharmaceuticals,2003,$1 to $5 billion (USD),Data Science and Analytics Lead (Remote),"Boston, MA",172K,226K,"$198,875",/yr (Employer est.)
TriNet,3.7,Management & Consulting,Business Consulting,1988,$1 to $5 billion (USD),Principal Data Scientist,Remote,119K,315K,"$217,000",/yr (Employer est.)
CVS Health,3.1,Healthcare,Health Care Services & Hospitals,1963,$10+ billion (USD),Principal Machine Learning Engineer,"Hartford, CT",144K,288K,"$216,300",/yr (Employer est.)
Hasbro,3.5,Manufacturing,Consumer Product Manufacturing,1923,$5 to $10 billion (USD),Sr. AI Engineer,"Raleigh, NC",156K,254K,"$204,800",/yr (Employer est.)
Walmart,3.4,Retail & Wholesale,General Merchandise & Superstores,1962,$10+ billion (USD),"Principal, Data Scientist (People.AI)","Bellevue, WA",132K,264K,"$198,000",/yr (Employer est.)
Apple,4.2,Information Technology,Computer Hardware Development,1976,$10+ billion (USD),"AIML - ML SW Performance Engineer, Machine Learning Platform and Infrastructure","Cambridge, MA",159K,219K,"$186,784",/yr (Glassdoor est.)
adMarketplace,2.4,Media & Communication,Advertising & Public Relations,2000,Unknown / Non-Applicable,Senior Software Engineer - Consumer Tech and Gen AI,"New York, NY",170K,220K,"$195,000",/yr (Employer est.)
Angi,3.5,Information Technology,Internet & Web Services,1995,$1 to $5 billion (USD),"Director, Data Science & Machine Learning","San Francisco, CA",143K,228K,"$180,458",/yr (Glassdoor est.)
Retro,3.4,,,,Unknown / Non-Applicable,Machine Learning Scientist,"Redwood City, CA",170K,230K,"$200,000",/yr (Employer est.)
Workday,4.2,Information Technology,Enterprise Software & Network Solutions,2005,$1 to $5 billion (USD),Sr. Machine Learning Engineer - NLP,"Atlanta, GA",168K,252K,"$210,000",/yr (Employer est.)
Veho,2.4,,,,Unknown / Non-Applicable,"Staff Data Scientist, Offering and Pricing",Remote,190K,210K,"$200,000",/yr (Employer est.)
adMarketplace,2.4,Media & Communication,Advertising & Public Relations,2000,Unknown / Non-Applicable,Senior AI/ML Engineer - Search and Gen AI,"New York, NY",170K,220K,"$195,000",/yr (Employer est.)
Apple,4.2,Information Technology,Computer Hardware Development,1976,$10+ billion (USD),Hardware Insights Machine Learning Data Scientist,"Cupertino, CA",161K,242K,"$201,100",/yr (Employer est.)
Conifer Revenue Cycle Solutions,2.8,Healthcare,Health Care Services & Hospitals,1968,$10+ billion (USD),"Senior Director, Data Science (Remote based in the US)","Frisco, TX",167K,250K,"$208,520",/yr (Employer est.)
Penguin Random House LLC,3.9,Media & Communication,Publishing,2013,Unknown / Non-Applicable,Senior Machine Learning Scientist / Machine Learning Manager (Open to Remote),"New York, NY",125K,250K,"$187,500",/yr (Employer est.)
Novartis,3.9,,,,Unknown / Non-Applicable,Principal Data Scientist Biology AI Researcher,"Cambridge, MA",144K,216K,"$180,000",/yr (Employer est.)
TextNow,4.0,Telecommunications,Telecommunications Services,2009,$25 to $100 million (USD),"Senior Director, Data Science","San Francisco, CA",179K,235K,"$205,120",/yr (Glassdoor est.)
Apple,4.2,Information Technology,Computer Hardware Development,1976,$10+ billion (USD),Machine Learning Systems Engineer,"Seattle, WA",132K,243K,"$187,400",/yr (Employer est.)
Kodiak Robotics,4.4,Information Technology,Computer Hardware Development,2018,Unknown / Non-Applicable,"Senior Software Engineer, Machine Learning Infrastructure","Mountain View, CA",164K,198K,"$180,536",/yr (Glassdoor est.)
Microsoft,4.3,Information Technology,Computer Hardware Development,1975,$10+ billion (USD),Senior Director Artificial Intelligence Silicon Product Management,"Redmond, WA",159K,277K,"$217,550",/yr (Employer est.)
Morgan Stanley,3.9,Financial Services,Investment & Asset Management,1935,$10+ billion (USD),VP - AIML and Data Science for Enterprise Model Validation and Validation Execution,"New York, NY",106K,170K,"$134,156",/yr (Glassdoor est.)
Hasbro,3.5,Manufacturing,Consumer Product Manufacturing,1923,$5 to $10 billion (USD),Principal AI Engineer,United States,156K,254K,"$204,760",/yr (Employer est.)
owl.co,3.2,Information Technology,Information Technology Support Services,2018,Unknown / Non-Applicable,Senior Deep Learning Engineer,"New York, NY",150K,230K,"$190,000",/yr (Employer est.)
Abacus.AI,4.7,Information Technology,Enterprise Software & Network Solutions,2019,Unknown / Non-Applicable,"Operations Research Engineering Lead, Abacus.AI, Inc., San Francisco, CA.","San Francisco, CA",150K,250K,"$200,000",/yr (Employer est.)
Apple,4.2,Information Technology,Computer Hardware Development,1976,$10+ billion (USD),HID-Applied Machine Learning Scientist,"Cupertino, CA",139K,257K,"$197,700",/yr (Employer est.)
LendingTree,3.4,Financial Services,Banking & Lending,1996,$100 to $500 million (USD),"Sr. Manager, Data Science","Charlotte, NC",200K,215K,"$207,500",/yr (Employer est.)
Zero Systems,3.2,,,,,"Head of Product, AI Platform",Remote,180K,250K,"$215,000",/yr (Employer est.)
Revolution Medicines,4.0,Pharmaceutical & Biotechnology,Biotech & Pharmaceuticals,,$1 to $5 million (USD),"Associate Director, Statistical Programming","Redwood City, CA",175K,210K,"$192,500",/yr (Employer est.)
Meta,3.9,Information Technology,Internet & Web Services,2004,$10+ billion (USD),"Production Systems Engineer, Fleet AI Systems","Menlo Park, CA",163K,225K,"$194,000",/yr (Employer est.)
Omada Health,3.8,Healthcare,Health Care Services & Hospitals,2011,Unknown / Non-Applicable,Senior Machine Learning Engineer,Remote,162K,203K,"$182,250",/yr (Employer est.)
Rippling,3.4,Information Technology,Computer Hardware Development,2016,$100 to $500 million (USD),Staff Machine Learning Platform Engineer,"New York, NY",159K,278K,"$218,625",/yr (Employer est.)
Recruiting From Scratch,4.0,Human Resources & Staffing,Staffing & Subcontracting,2019,$1 to $5 million (USD),"Senior Software Engineer, AI","San Mateo, CA",150K,220K,"$185,000",/yr (Employer est.)
Synaptics Inc.,3.5,Information Technology,Computer Hardware Development,1986,$1 to $5 billion (USD),Sr. Staff Data Scientist,"San Jose, CA",162K,254K,"$208,050",/yr (Employer est.)
Airbnb,4.3,Information Technology,Internet & Web Services,2008,Unknown / Non-Applicable,"Senior Machine Learning Engineer, Support Products","San Francisco, CA",185K,221K,"$203,000",/yr (Employer est.)
Microsoft,4.3,Information Technology,Computer Hardware Development,1975,$10+ billion (USD),Principal Researcher – Deep Learning – Microsoft Research,"Redmond, WA",134K,257K,"$195,200",/yr (Employer est.)
Intuitive Surgical,4.3,Manufacturing,Health Care Products Manufacturing,1995,$1 to $5 billion (USD),Sr. Azure AI Platform Engineer,"Sunnyvale, CA",145K,245K,"$195,000",/yr (Employer est.)
Apple,4.2,Information Technology,Computer Hardware Development,1976,$10+ billion (USD),Machine Learning Engineer,"Cupertino, CA",184K,208K,"$196,074",/yr (Employer est.)
Toyota Research Institute,4.2,Management & Consulting,Research & Development,2016,Unknown / Non-Applicable,"Machine Learning Researcher, Carbon Neutrality","Los Altos, CA",152K,210K,"$180,900",/yr (Employer est.)
Connect Staffing and Consulting,4.4,Human Resources & Staffing,Staffing & Subcontracting,,Unknown / Non-Applicable,?DATA SCIENTIST/SR AI ENGINEER,"Blank, MD",160K,250K,"$205,000",/yr (Employer est.)
Apple,4.2,Information Technology,Computer Hardware Development,1976,$10+ billion (USD),"Data Scientist, Software Programs","Cupertino, CA",132K,242K,"$186,900",/yr (Employer est.)
Congruent,3.8,,,,Unknown / Non-Applicable,Staff Machine Learning Engineer,"San Francisco, CA",190K,225K,"$207,500",/yr (Employer est.)
JPMorgan Chase & Co,4.0,Financial Services,Banking & Lending,1799,$10+ billion (USD),Machine Learning Expert Engineer,"Jersey City, NJ",147K,260K,"$203,625",/yr (Employer est.)
Unum,3.8,Insurance,Insurance Carriers,1848,$10+ billion (USD),Senior C++ Research Engineer: Databases & AI Startup,"San Francisco, CA",161K,199K,"$179,137",/yr (Glassdoor est.)
Movable Ink,3.9,Information Technology,Software Development,2010,$100 to $500 million (USD),"Lead Data Scientist, Personalization Analytics",Remote,190K,215K,"$202,500",/yr (Employer est.)
Adobe,4.3,Information Technology,Computer Hardware Development,1982,$10+ billion (USD),Senior Machine Learning Engineer,"San Jose, CA",151K,284K,"$217,550",/yr (Employer est.)
Talkspace,2.8,Healthcare,Health Care Services & Hospitals,2011,$25 to $100 million (USD),Machine Learning Engineer,"New York, NY",170K,190K,"$180,000",/yr (Employer est.)
Outreach,2.9,Information Technology,Enterprise Software & Network Solutions,2014,Unknown / Non-Applicable,"Staff Applied Scientist, Conversational Intelligence","Seattle, WA",165K,225K,"$195,000",/yr (Employer est.)
Rocket Lawyer,4.1,Information Technology,Computer Hardware Development,2008,$25 to $100 million (USD),Principal Data Engineering Architect,Arizona,181K,235K,"$208,000",/yr (Employer est.)
"The Travelers Companies, Inc.",4.1,Insurance,Insurance Carriers,1853,$10+ billion (USD),Senior Director Data Engineering - International Tech,"Hartford, CT",146K,240K,"$192,800",/yr (Employer est.)
IBM,4.1,Information Technology,Information Technology Support Services,1911,$10+ billion (USD),Technology Software Sales Specialist - Data & AI,"Lexington, KY",167K,251K,"$209,000",/yr (Employer est.)
Walmart,3.4,Retail & Wholesale,General Merchandise & Superstores,1962,$10+ billion (USD),"Senior Manager, Software Engineering (Machine Learning)","Sunnyvale, CA",143K,286K,"$214,500",/yr (Employer est.)
Splunk,3.9,Information Technology,Enterprise Software & Network Solutions,2003,$1 to $5 billion (USD),"Principal Applied Scientist, Artificial Intelligence",Remote,163K,224K,"$193,040",/yr (Employer est.)
Netflix,4.2,Information Technology,Internet & Web Services,1997,$5 to $10 billion (USD),Data Scientist (L5) - Systems Test Enablement,"Los Gatos, CA",158K,221K,"$187,007",/yr (Glassdoor est.)
"BI Pharmaceuticals, Inc.",4.2,Pharmaceutical & Biotechnology,Biotech & Pharmaceuticals,1885,$10+ billion (USD),Senior Principal Methodology Statistician,"Ridgefield, CT",108K,159K,"$130,689",/yr (Glassdoor est.)
Meta,3.9,Information Technology,Internet & Web Services,2004,$10+ billion (USD),Data Center Campus Facility Manager,"Kuna, ID",160K,231K,"$195,500",/yr (Employer est.)
Connect Staffing Professional,4.0,,,,Unknown / Non-Applicable,Senior ML/AI Data Scientist - 1796491,"New York, NY",160K,250K,"$205,000",/yr (Employer est.)
Apple,4.2,Information Technology,Computer Hardware Development,1976,$10+ billion (USD),Applied Scientist - WWBPR Advanced Analytics,"Cupertino, CA",171K,257K,"$213,600",/yr (Employer est.)
Capital Group Companies,4.1,Financial Services,Investment & Asset Management,1931,$1 to $5 billion (USD),Applied Scientist I,"Los Angeles, CA",167K,266K,"$216,517",/yr (Employer est.)
IBM,4.1,Information Technology,Information Technology Support Services,1911,$10+ billion (USD),Senior Go To Market (GTM) Specialist – Artificial Intelligence,"New York, NY",156K,234K,"$195,000",/yr (Employer est.)
UiPath,4.0,Information Technology,Enterprise Software & Network Solutions,2005,Unknown / Non-Applicable,Applied Scientist,"Bellevue, WA",162K,244K,"$202,975",/yr (Employer est.)
NVIDIA,4.6,Information Technology,Computer Hardware Development,1993,$5 to $10 billion (USD),Senior Data Center Cooling and Infrastructure Engineer,"Santa Clara, CA",144K,276K,"$210,000",/yr (Employer est.)
Nextdoor,3.2,Information Technology,Internet & Web Services,2010,Unknown / Non-Applicable,Head of Machine Learning,"San Francisco, CA",153K,239K,"$191,580",/yr (Glassdoor est.)
Samsung Research America,3.9,Information Technology,Software Development,1988,$25 to $100 million (USD),"Staff Research Engineer, Generative AI","Mountain View, CA",173K,238K,"$205,175",/yr (Employer est.)
Generate Biomedicines,4.4,,,,Unknown / Non-Applicable,"Senior Director, Machine Learning (ML) Engineering","Somerville, MA",159K,220K,"$187,275",/yr (Glassdoor est.)
Firsthand,3.7,Healthcare,Health Care Services & Hospitals,2021,Unknown / Non-Applicable,Software Engineer Lead - AI Specialist,"New York, NY",120K,240K,"$180,000",/yr (Employer est.)
AKASA,3.1,Information Technology,Enterprise Software & Network Solutions,2018,Unknown / Non-Applicable,"Senior Machine Learning Engineer, Systems",United States,175K,230K,"$202,500",/yr (Employer est.)
City and County of San Francisco,3.8,Government & Public Administration,State & Regional Agencies,,Unknown / Non-Applicable,Data Architect - ITT - SFO (9976),United States,157K,213K,"$185,237",/yr (Employer est.)
Qualcomm,4.0,Information Technology,Computer Hardware Development,1985,$10+ billion (USD),"Staff Full Stack Engineer / Backend Engineer, Qualcomm AI SW Stack","San Diego, CA",149K,223K,"$185,500",/yr (Employer est.)
Legion Consulting Solutions,3.7,,,,Unknown / Non-Applicable,Data Scientist II-V,"Columbia, MD",125K,245K,"$185,000",/yr (Employer est.)
TikTok,3.4,Information Technology,Internet & Web Services,2016,Unknown / Non-Applicable,"Machine Learning Engineer, TikTok Ads Creative & Ecosystem","San Jose, CA",145K,250K,"$197,500",/yr (Employer est.)
BlackLine,3.3,Information Technology,Software Development,2001,$500 million to $1 billion (USD),Staff AI Operations Engineer,"Pleasanton, CA",160K,247K,"$203,300",/yr (Employer est.)
JPMorgan Chase & Co,4.0,Financial Services,Banking & Lending,1799,$10+ billion (USD),"Executive Director, Home Lending Data Products","Jersey City, NJ",176K,260K,"$217,875",/yr (Employer est.)
Pinterest,3.9,Information Technology,Internet & Web Services,2010,$100 to $500 million (USD),"Staff Data Scientist, Privacy Enhancing Technologies","San Francisco, CA",161K,206K,"$182,506",/yr (Glassdoor est.)
TikTok,3.4,Information Technology,Internet & Web Services,2016,Unknown / Non-Applicable,Security Analytics Data Scientist,"San Jose, CA",147K,270K,"$208,500",/yr (Employer est.)
U.S. Agency for International Development,4.0,Government & Public Administration,National Agencies,1950,Unknown / Non-Applicable,Senior Data Integration Officer,"Washington, DC",148K,222K,"$184,775",/yr (Employer est.)
Walmart,3.4,Retail & Wholesale,General Merchandise & Superstores,1962,$10+ billion (USD),"Staff, Data Scientist - Gen AI and Deep Learning","Sunnyvale, CA",143K,286K,"$214,500",/yr (Employer est.)
Microsoft,4.3,Information Technology,Computer Hardware Development,1975,$10+ billion (USD),"Principal Researcher - Artificial Intelligence, Human-AI Interaction – Microsoft Research","Redmond, WA",134K,257K,"$195,200",/yr (Employer est.)
Worldforce,3.5,,,,,Product Manager for AI,Remote,100K,300K,"$200,000",/yr (Employer est.)
Microsoft,4.3,Information Technology,Computer Hardware Development,1975,$10+ billion (USD),Principal Data Scientist,United States,134K,257K,"$195,200",/yr (Employer est.)
CVS Health,3.1,Healthcare,Health Care Services & Hospitals,1963,$10+ billion (USD),Lead ML/AI Engineer,"New York, NY",124K,247K,"$185,786",/yr (Employer est.)
Netflix,4.2,Information Technology,Internet & Web Services,1997,$5 to $10 billion (USD),"Engineering Manager, Consumer Inference, Machine Learning Platform","Los Gatos, CA",159K,239K,"$194,812",/yr (Glassdoor est.)
10x Genomics,3.5,Pharmaceutical & Biotechnology,Biotech & Pharmaceuticals,2012,Unknown / Non-Applicable,"Senior Software Engineer, AI/ML Platform & Applications","Pleasanton, CA",177K,239K,"$208,000",/yr (Employer est.)
Apple,4.2,Information Technology,Computer Hardware Development,1976,$10+ billion (USD),Software ML Engineer (MSO),"Cupertino, CA",171K,257K,"$213,600",/yr (Employer est.)
Scale AI,3.6,Information Technology,Enterprise Software & Network Solutions,2016,Unknown / Non-Applicable,Senior/Staff Machine Learning Research Scientist Generative AI,"San Francisco, CA",156K,223K,"$186,916",/yr (Glassdoor est.)
SpaceX,3.9,Aerospace & Defense,Aerospace & Defense,2002,Unknown / Non-Applicable,Sr. Data Scientist (Starlink Product),"Hawthorne, CA",160K,220K,"$190,000",/yr (Employer est.)
ByteDance,3.8,Information Technology,Internet & Web Services,2012,Unknown / Non-Applicable,Frontend Software Engineer - Applied Machine Learning Platform,"Seattle, WA",130K,246K,"$188,100",/yr (Employer est.)
McKesson,3.7,Healthcare,Health Care Services & Hospitals,1833,$10+ billion (USD),"Senior Director, Data Science","Richmond, VA",160K,266K,"$212,900",/yr (Employer est.)
NVIDIA,4.6,Information Technology,Computer Hardware Development,1993,$5 to $10 billion (USD),Senior Compiler Engineer - Deep Learning,"Santa Clara, CA",144K,270K,"$207,125",/yr (Employer est.)
Eko Health,4.3,Healthcare,Health Care Services & Hospitals,2013,Unknown / Non-Applicable,#032 - Senior Data Scientist,"Emeryville, CA",187K,187K,"$186,923",/yr (Employer est.)
Microsoft,4.3,Information Technology,Computer Hardware Development,1975,$10+ billion (USD),Principal Machine Learning Engineer – Foundation Models – Microsoft Research,"Redmond, WA",134K,257K,"$195,200",/yr (Employer est.)
PIMCO,3.9,Financial Services,Investment & Asset Management,1971,Unknown / Non-Applicable,Artificial Intelligence,"Newport Beach, CA",160K,240K,"$200,000",/yr (Employer est.)
Recruiting From Scratch,4.0,Human Resources & Staffing,Staffing & Subcontracting,2019,$1 to $5 million (USD),"Staff/Principal ML Engineer, Applied Scientist","Torrance, CA",160K,220K,"$190,000",/yr (Employer est.)
NVIDIA,4.6,Information Technology,Computer Hardware Development,1993,$5 to $10 billion (USD),"Solutions Architect, Machine Learning","Santa Clara, CA",144K,224K,"$184,125",/yr (Employer est.)
"Advanced Micro Devices, Inc",4.1,Information Technology,Computer Hardware Development,1969,$10+ billion (USD),"Information Security Manager, AI Offensive Security, Red Team Lead","Santa Clara, CA",152K,231K,"$187,464",/yr (Glassdoor est.)
Afterpay,3.6,Information Technology,Internet & Web Services,2014,$5 to $10 billion (USD),Staff Data Scientist - Marketing,"San Francisco, CA",152K,209K,"$178,156",/yr (Glassdoor est.)
Apple,4.2,Information Technology,Computer Hardware Development,1976,$10+ billion (USD),"Machine Learning Engineer, Customer Systems, Early Career","Austin, TX",164K,216K,"$188,108",/yr (Glassdoor est.)
Atlassian,4.0,Information Technology,Software Development,2002,Unknown / Non-Applicable,Lead Principal Machine Learning Software Engineer,"San Francisco, CA",171K,230K,"$198,343",/yr (Glassdoor est.)
percipient.ai,4.0,Information Technology,Enterprise Software & Network Solutions,2017,Unknown / Non-Applicable,Senior Data Center Engineer,"Reston, VA",160K,200K,"$180,000",/yr (Employer est.)
