employer,employer_rating,sector,industry,employer_founded,employer_revenue,location,average_base_salary,rating_range,estimator_0,estimator_1,job_title_category_AI / ML Engineer,job_title_category_Data Analyst,job_title_category_Data Engineer,job_title_category_Data Scientist,job_title_category_Statistician
694,3.9,10,30,1986.0,7,15,105213.0,2,1,0,0,0,0,1,0
625,4.8,5,0,1986.0,2,205,92958.0,3,1,0,0,0,0,1,0
549,4.7,10,68,2007.0,3,315,94075.0,3,1,0,0,0,0,1,0
494,4.6,24,77,1986.0,0,312,125000.0,3,0,1,0,0,0,1,0
918,3.8,13,12,2020.0,0,99,111962.0,2,1,0,0,0,0,1,0
538,3.3,24,77,1986.0,0,384,97500.0,2,0,1,0,0,0,1,0
671,4.8,24,77,1986.0,0,312,115200.0,3,0,1,0,0,0,1,0
269,3.2,7,41,1997.0,6,284,79700.0,2,0,1,0,1,0,0,0
46,3.5,10,48,2015.0,0,331,160885.0,2,1,0,0,0,0,1,0
169,4.2,13,12,1914.0,8,394,119550.0,3,0,1,0,0,0,1,0
756,4.2,13,64,1986.0,0,331,155061.0,3,1,0,0,0,0,1,0
703,3.3,24,77,1986.0,0,312,120000.0,2,0,1,0,0,0,1,0
326,3.4,10,45,2012.0,0,350,109295.0,2,1,0,0,0,0,1,0
1130,2.5,16,15,1986.0,3,312,86000.0,1,0,1,0,0,0,1,0
1034,4.1,4,54,2004.0,8,371,98339.0,3,1,0,0,0,0,1,0
1076,2.6,15,61,1933.0,5,394,121010.0,1,1,0,0,0,0,1,0
662,3.6,20,65,1955.0,9,73,125035.0,2,1,0,0,0,0,1,0
1022,4.1,24,77,1986.0,0,51,155000.0,3,0,1,0,0,0,1,0
1158,3.0,24,77,1986.0,0,53,120443.0,1,1,0,0,0,0,1,0
149,4.7,10,45,2008.0,0,10,106615.0,3,1,0,0,0,0,1,0
500,3.1,10,48,2010.0,0,217,169000.0,2,0,1,0,0,0,1,0
307,3.9,10,45,1983.0,4,252,124800.0,2,0,1,0,1,0,0,0
355,4.1,15,1,2006.0,4,252,75000.0,3,0,1,0,0,0,1,0
739,4.8,24,77,1986.0,0,339,134033.0,3,1,0,0,0,0,1,0
1115,2.8,9,39,2016.0,0,377,111635.0,1,1,0,0,0,0,1,0
236,3.6,21,25,1947.0,7,252,132500.0,2,0,1,0,0,0,1,0
303,3.8,23,67,1969.0,9,43,93257.0,2,1,0,0,1,0,0,0
696,4.7,24,77,1986.0,0,394,153600.0,3,0,1,0,0,0,1,0
449,2.9,24,77,1986.0,0,312,75000.0,1,0,1,0,0,0,1,0
