employer,employer_rating,sector,industry,employer_founded,employer_revenue,location,min_salary,max_salary,average_base_salary,rating_range,estimator_0,estimator_1,job_title_category_AI / ML Engineer,job_title_category_Data Analyst,job_title_category_Data Engineer,job_title_category_Data Scientist,job_title_category_Statistician
449,3.7,10,30,2011.0,0,288,94000.0,137000.0,113658.0,2,1,0,0,0,0,1,0
205,3.6,3,16,2011.0,3,313,92000.0,111000.0,101825.0,2,0,1,0,0,0,1,0
855,4.1,11,47,1977.0,7,253,79000.0,112000.0,95550.0,3,0,1,0,0,0,1,0
598,5.0,24,77,1986.0,0,313,144000.0,153600.0,148800.0,3,0,1,0,0,0,1,0
1115,3.4,7,41,1893.0,6,210,93000.0,117000.0,105100.0,2,0,1,0,0,0,1,0
814,3.2,10,30,2013.0,4,345,86000.0,127000.0,106400.0,2,0,1,0,0,0,1,0
415,4.1,18,8,1830.0,9,104,133000.0,166000.0,148644.0,3,1,0,0,0,0,1,0
320,4.5,10,68,1998.0,3,274,80000.0,100000.0,90000.0,3,0,1,0,0,0,1,0
487,5.0,24,77,1986.0,0,385,100000.0,115000.0,107500.0,3,0,1,0,0,0,1,0
634,4.1,10,68,2016.0,0,55,170000.0,250000.0,210000.0,3,0,1,0,0,0,1,0
624,3.5,21,42,1921.0,9,68,75000.0,143000.0,109200.0,2,0,1,0,0,0,1,0
488,4.0,10,18,2013.0,0,313,116000.0,145000.0,130500.0,2,0,1,0,0,0,1,0
305,3.7,4,29,1903.0,9,100,93000.0,124000.0,107575.0,2,1,0,0,0,0,1,0
362,3.8,7,41,1986.0,0,246,91000.0,120000.0,104183.0,2,1,0,0,0,0,1,0
36,3.9,10,18,1986.0,4,394,76000.0,115000.0,93559.0,2,1,0,0,0,0,1,0
208,2.0,7,41,1986.0,0,87,90000.0,129000.0,108078.0,0,1,0,0,0,0,1,0
841,3.6,0,2,1956.0,5,395,97000.0,143000.0,117397.0,2,1,0,0,0,0,1,0
191,4.3,10,30,2017.0,0,340,136000.0,176000.0,155173.0,3,1,0,0,0,0,1,0
1140,3.7,5,49,1983.0,7,313,113000.0,150000.0,131500.0,2,0,1,0,0,0,1,0
197,3.4,15,1,1986.0,0,285,101000.0,147000.0,121844.0,2,1,0,0,0,0,1,0
121,3.8,13,12,2009.0,5,311,116000.0,165000.0,138615.0,2,1,0,0,0,0,1,0
615,4.1,18,8,1876.0,9,165,103000.0,128000.0,114959.0,3,1,0,0,0,0,1,0
1137,5.0,24,77,1986.0,0,66,82000.0,117000.0,98065.0,3,1,0,0,0,0,1,0
28,3.7,13,64,1965.0,6,322,70000.0,90000.0,80000.0,2,0,1,0,0,0,1,0
220,4.2,10,18,1986.0,2,404,89000.0,126000.0,105408.0,3,1,0,0,0,0,1,0
646,4.0,11,46,1871.0,9,385,108000.0,163000.0,135403.0,2,0,1,0,0,0,1,0
849,4.7,10,30,2014.0,2,395,67000.0,110000.0,85689.0,3,1,0,0,0,0,1,0
538,3.3,10,45,2014.0,0,313,75000.0,120000.0,97500.0,2,0,1,0,0,0,1,0
644,4.0,8,44,1927.0,9,33,96000.0,190000.0,143096.0,2,0,1,0,0,0,1,0
480,4.2,14,33,1864.0,9,284,104000.0,159000.0,129025.0,3,1,0,0,0,0,1,0
476,3.8,11,47,1885.0,5,145,82000.0,115000.0,97310.0,2,1,0,0,0,0,1,0
127,4.1,14,51,1995.0,5,34,89000.0,124000.0,105301.0,3,1,0,0,0,0,1,0
318,3.2,5,32,1915.0,7,253,80000.0,90000.0,85000.0,2,0,1,0,0,0,1,0
507,4.9,10,45,2013.0,3,361,86000.0,125000.0,103961.0,3,1,0,0,0,0,1,0
1197,3.5,24,77,1986.0,0,82,76800.0,92160.0,84480.0,2,0,1,0,0,0,1,0
30,4.7,10,45,2022.0,3,316,82000.0,123000.0,100654.0,3,1,0,0,0,0,1,0
1108,4.1,24,77,1986.0,0,278,75000.0,100000.0,87500.0,3,0,1,0,0,0,1,0
1043,5.0,24,77,1986.0,0,125,85000.0,118000.0,100304.0,3,1,0,0,0,0,1,0
1143,3.7,24,77,1986.0,3,345,76000.0,110000.0,91524.0,2,1,0,0,0,0,1,0
597,3.6,7,41,1978.0,9,104,124000.0,158000.0,139754.0,2,1,0,0,0,0,1,0
1125,3.8,22,74,2000.0,9,25,117000.0,177000.0,143896.0,2,1,0,0,0,0,1,0
1067,3.7,24,77,1986.0,0,285,119000.0,166000.0,140441.0,2,1,0,0,0,0,1,0
727,3.4,4,29,1987.0,7,82,91000.0,137000.0,113800.0,2,0,1,0,0,0,1,0
221,4.0,14,51,1925.0,9,243,108000.0,138000.0,122173.0,2,1,0,0,0,0,1,0
485,4.0,14,76,1948.0,0,214,54000.0,80000.0,66950.0,2,0,1,0,0,0,1,0
17,3.8,14,14,1975.0,2,376,98000.0,124000.0,110386.0,2,1,0,0,0,0,1,0
281,3.5,10,68,1986.0,0,56,101000.0,137000.0,117991.0,2,1,0,0,0,0,1,0
669,4.1,24,77,1986.0,2,395,103000.0,141000.0,120394.0,3,1,0,0,0,0,1,0
1032,3.7,13,12,2002.0,3,16,81000.0,134000.0,104134.0,2,1,0,0,0,0,1,0
557,3.8,10,18,2013.0,2,313,130000.0,140000.0,135000.0,2,0,1,0,0,0,1,0
781,4.3,9,70,1986.0,0,313,140000.0,180000.0,160000.0,3,0,1,0,0,0,1,0
1131,2.5,16,15,1986.0,3,313,80000.0,92000.0,86000.0,1,0,1,0,0,0,1,0
602,4.2,10,18,2004.0,0,23,88000.0,134000.0,108985.0,3,1,0,0,0,0,1,0
178,5.0,24,77,1986.0,0,313,81000.0,177000.0,128933.0,3,0,1,0,0,0,1,0
