employer,employer_rating,sector,industry,employer_founded,employer_revenue,location,min_salary,max_salary,rating_range,estimator_0,estimator_1,job_title_category_AI / ML Engineer,job_title_category_Data Analyst,job_title_category_Data Engineer,job_title_category_Data Scientist,job_title_category_Statistician,average_base_salary
890,3.8,0,2,1957.0,0,371,165000.0,207000.0,2,0,1,1,0,0,0,0,186000.0
470,3.0,4,29,1999.0,7,61,68000.0,104000.0,1,1,0,0,1,0,0,0,84339.0
665,3.4,18,8,1992.0,7,74,125000.0,196000.0,2,1,0,0,0,0,1,0,156384.0
332,3.5,24,77,1986.0,0,8,100000.0,100000.0,2,0,1,0,0,0,1,0,100000.0
714,3.0,7,41,1964.0,5,253,125000.0,125000.0,1,0,1,0,0,0,1,0,125000.0
941,3.1,9,39,1998.0,5,290,96000.0,133000.0,2,1,0,0,0,0,1,0,113304.0
1046,3.2,6,56,2002.0,0,395,67000.0,95000.0,2,1,0,0,0,0,0,1,80002.0
560,4.0,5,6,1799.0,9,171,176000.0,260000.0,2,0,1,1,0,0,0,0,217875.0
1134,4.3,10,30,2013.0,0,413,69000.0,103000.0,3,1,0,0,0,0,1,0,84210.0
130,3.7,24,77,1986.0,0,78,66000.0,94000.0,2,1,0,0,0,0,1,0,78862.0
195,4.7,24,77,1986.0,0,125,88000.0,123000.0,3,1,0,0,0,0,1,0,104115.0
1147,3.6,15,31,2003.0,9,92,120000.0,222000.0,2,0,1,0,0,0,1,0,171000.0
757,4.2,13,64,1986.0,0,332,245000.0,310000.0,3,0,1,0,0,0,1,0,277500.0
690,3.5,7,41,2013.0,7,253,79000.0,118000.0,2,0,1,0,0,0,1,0,98605.0
717,4.2,6,71,1986.0,1,253,83000.0,83000.0,3,0,1,0,0,0,1,0,83478.0
505,4.2,10,45,1998.0,3,140,120960.0,128640.0,3,0,1,0,0,0,1,0,124800.0
1021,3.5,6,71,1957.0,0,18,100000.0,135000.0,2,0,1,0,0,0,1,0,117251.0
168,5.0,18,8,1986.0,0,311,160000.0,200000.0,3,0,1,0,0,0,0,1,180000.0
1179,3.9,10,48,2005.0,7,313,156000.0,250000.0,2,0,1,0,0,0,1,0,203000.0
231,2.8,14,21,2009.0,0,202,110000.0,118000.0,1,0,1,0,0,0,1,0,113750.0
183,3.9,21,81,1998.0,0,385,97000.0,162000.0,2,0,1,0,1,0,0,0,129700.0
345,4.0,13,12,1973.0,5,325,73000.0,104000.0,2,1,0,0,0,0,1,0,87616.0
253,4.7,10,30,1998.0,0,29,84000.0,120000.0,3,0,1,0,0,0,1,0,102000.0
202,4.8,10,68,2006.0,4,364,64000.0,101000.0,3,1,0,0,0,0,1,0,80231.0
443,3.6,22,13,2003.0,4,88,83000.0,112000.0,2,1,0,0,0,0,1,0,96459.0
899,4.1,10,18,1983.0,0,333,208000.0,332000.0,3,0,1,1,0,0,0,0,270000.0
99,4.1,14,28,1967.0,9,340,120000.0,165000.0,3,0,1,0,0,0,1,0,142500.0
98,4.2,10,18,1976.0,9,93,139000.0,257000.0,3,0,1,1,0,0,0,0,197700.0
936,4.0,10,30,2012.0,7,29,214000.0,328000.0,2,0,1,1,0,0,0,0,270875.0
1009,4.0,24,77,1986.0,0,322,113000.0,143000.0,2,0,1,0,0,0,1,0,128000.0
599,3.6,18,8,2008.0,5,24,59000.0,80000.0,2,1,0,0,0,1,0,0,68439.0
211,2.6,16,37,2021.0,0,67,73000.0,116000.0,1,1,0,0,0,0,1,0,92010.0
939,4.7,24,77,1986.0,0,331,98000.0,144000.0,3,0,1,0,0,0,1,0,120750.0
1162,4.6,24,77,1986.0,0,64,58000.0,93000.0,3,1,0,0,0,0,1,0,73770.0
230,3.2,7,41,1986.0,0,253,144000.0,198000.0,2,0,1,0,0,0,1,0,171000.0
498,4.1,10,45,1911.0,9,253,156000.0,234000.0,3,0,1,0,0,0,1,0,195000.0
369,5.0,24,77,1986.0,0,260,94000.0,130000.0,3,1,0,0,0,0,1,0,110340.0
33,4.3,10,18,1982.0,9,333,135000.0,251000.0,3,0,1,1,0,0,0,0,193050.0
773,3.3,16,15,1916.0,0,83,120000.0,130000.0,2,0,1,0,0,0,1,0,125000.0
1048,3.4,10,48,2016.0,0,333,224000.0,410000.0,2,0,1,1,0,0,0,0,317000.0
